Marvin Harrison,112
Reggie Wayne,67
Dallas Clark,44
Demaryius Thomas,36
Marcus Pollard,34
Julius Thomas,24
Eric Decker,24
Brandon Stokley,20
Austin Collie,15
Emmanuel Sanders,13
Wes Welker,12
Edgerrin James,11
Pierre Garcon,10
Joseph Addai,9
Jacob Tamme,9
Anthony Gonzalez,7
Terrence Wilkins,7
Torrance Small,7
Ken Dilger,7
Jerome Pathon,6
Joel Dreessen,6
Bryan Fletcher,5
Blair White,5
Dominic Rhodes,4
Marshall Faulk,4
Troy Walters,4
Qadry Ismail,3
James Mungro,3
Andre Caldwell,3
Owen Daniels,3
Knowshon Moreno,3
C.J. Anderson,2
E.G. Green,2
Ricky Williams,2
Ben Utecht,2
Virgil Green,1
Jim Finn,1
Mitch Unrein,1
Gijon Robinson,1
Aaron Moorehead,1
Luke Lawton,1
Lance Ball,1
Dan Klecko,1
Ronnie Hillman,1
Trevor Insley,1
Mike Roberg,1
Tom Santi,1
Lamont Warren,1
Kenton Keith,1
